k,k,Pk
"(-0.0118, 0.00118]",0.0,375655798308908.1
"(0.00118, 0.00236]",,
"(0.00236, 0.00354]",,
"(0.00354, 0.00472]",,
"(0.00472, 0.0059]",,
"(0.0059, 0.00708]",,
"(0.00708, 0.00826]",,
"(0.00826, 0.00944]",,
"(0.00944, 0.0106]",,
"(0.0106, 0.0118]",,
"(0.0118, 0.013]",0.01227184630308513,3249948628262389.0
"(0.013, 0.0142]",,
"(0.0142, 0.0153]",,
"(0.0153, 0.0165]",,
"(0.0165, 0.0177]",,
"(0.0177, 0.0189]",,
"(0.0189, 0.0201]",,
"(0.0201, 0.0212]",,
"(0.0212, 0.0224]",,
"(0.0224, 0.0236]",,
"(0.0236, 0.0248]",0.02454369260617026,2588077204213285.0
"(0.0248, 0.026]",,
"(0.026, 0.0271]",,
"(0.0271, 0.0283]",,
"(0.0283, 0.0295]",,
"(0.0295, 0.0307]",,
"(0.0307, 0.0319]",0.031415926535897934,466347760978154.8
"(0.0319, 0.033]",,
"(0.033, 0.0342]",0.033727713408938355,2383595796339455.5
"(0.0342, 0.0354]",,
"(0.0354, 0.0366]",,
"(0.0366, 0.0378]",0.03681553890925539,148058092210928.7
"(0.0378, 0.0389]",,
"(0.0389, 0.0401]",0.03986669395441654,1161478186485877.2
"(0.0401, 0.0413]",,
"(0.0413, 0.0425]",,
"(0.0425, 0.0437]",,
"(0.0437, 0.0448]",0.044428829381583664,2312383742572417.0
"(0.0448, 0.046]",,
"(0.046, 0.0472]",0.04609250581064579,359621504364351.1
"(0.0472, 0.0484]",,
"(0.0484, 0.0496]",0.04853569473109904,1584657274346658.8
"(0.0496, 0.0507]",,
"(0.0507, 0.0519]",0.050757400711266214,2510313584859078.0
"(0.0519, 0.0531]",,
"(0.0531, 0.0543]",,
"(0.0543, 0.0555]",,
"(0.0555, 0.0566]",,
"(0.0566, 0.0578]",0.057700128122880015,2192294246711962.2
"(0.0578, 0.059]",0.05827977202334994,1230650300688554.5
"(0.059, 0.0602]",,
"(0.0602, 0.0614]",,
"(0.0614, 0.0625]",0.06135923151542565,5267891767972195.0
"(0.0625, 0.0637]",0.06283185307179587,1993927089112918.0
"(0.0637, 0.0649]",0.06401905944421776,1263784493763318.0
"(0.0649, 0.0661]",,
"(0.0661, 0.0673]",0.06620794716046238,1789422187726031.2
"(0.0673, 0.0684]",0.06745542681787671,1830093465347928.0
"(0.0684, 0.0696]",0.06893414054206043,2056880321933440.5
"(0.0696, 0.0708]",0.07024814731040728,2209688685863919.2
"(0.0708, 0.072]",0.07131199346695634,2314980403245122.5
"(0.072, 0.0732]",0.07282324948541256,2578986738494331.0
"(0.0732, 0.0743]",0.07363107781851078,4275816952622620.5
"(0.0743, 0.0755]",0.07441233128514961,1481661348272097.0
"(0.0755, 0.0767]",0.07575537058441122,1750084837064440.0
"(0.0767, 0.0779]",,
"(0.0779, 0.0791]",,
"(0.0791, 0.0802]",0.07960196442662848,928119762906206.5
"(0.0802, 0.0814]",,
"(0.0814, 0.0826]",,
"(0.0826, 0.0838]",,
"(0.0838, 0.085]",,
"(0.085, 0.0861]",0.08580652698977943,1995746495541835.0
"(0.0861, 0.0873]",,
"(0.0873, 0.0885]",0.0878225315770352,2242760552009362.5
"(0.0885, 0.0897]",0.08885765876316733,641286655571153.8
"(0.0897, 0.0909]",0.08970106873698903,512081629746084.8
